From,To,Weight
A37,A38,0.0044
A30,A07,0.00445
A45,A29,0.00446
A26,A04,0.00449
A26,A52,0.00449
A22,A12,0.00454
A23,A37,0.00459
A24,A29,0.00459
A33,A23,0.00459
A27,A34,0.00464
A21,A38,0.00465
A24,A18,0.00466
A50,A35,0.00468
A25,A20,0.00472
A19,A48,0.00473
A46,A11,0.00475
A25,A13,0.00477
A15,A36,0.0048
A17,A39,0.00485
A31,A20,0.00485
A24,A23,0.00488
A30,A48,0.00488
A41,A47,0.00489
A06,A26,0.0049
A19,A40,0.00499
A29,A09,0.00503
A46,A03,0.00505
A30,A51,0.0051
A34,A28,0.0051
A08,A13,0.00511
A32,A20,0.00521
A46,A26,0.00527
A47,A43,0.0053
A25,A28,0.00531
A41,A51,0.00532
A31,A37,0.00533
A21,A37,0.00534
A42,A47,0.00536
A38,A41,0.00539
A39,A01,0.00539
A45,A19,0.00541
A11,A37,0.00542
A51,A10,0.00547
A24,A51,0.00551
A10,A26,0.00556
A41,A50,0.00556
A45,A37,0.00558
A46,A43,0.00563
A03,A31,0.00565
A06,A01,0.00571
A17,A48,0.00573
A29,A39,0.00573
A30,A44,0.00573
A40,A46,0.00574
A37,A43,0.00583
A27,A30,0.00585
A32,A19,0.00586
A25,A43,0.00591
A34,A35,0.00591
A33,A50,0.00601
A44,A13,0.00603
A46,A17,0.00612
A43,A43,0.00618
A08,A34,0.00619
A41,A02,0.00625
A03,A49,0.00634
A11,A03,0.00638
A25,A32,0.00641
A07,A13,0.00656
A15,A28,0.00656
A49,A08,0.00656
A05,A35,0.00657
A18,A30,0.00659
A37,A47,0.00659
A34,A48,0.00663
A40,A24,0.00667
A14,A29,0.00672
A22,A21,0.00672
A41,A26,0.00672
A27,A38,0.00675
A34,A26,0.0068
A31,A34,0.00693
A34,A04,0.00693
A34,A52,0.00693
A29,A32,0.00698
A42,A45,0.007
A03,A18,0.00703
A51,A42,0.00706
A03,A01,0.0071
A45,A49,0.00711
A41,A45,0.00713
A31,A25,0.00715
A16,A45,0.0072
A19,A28,0.0072
A20,A28,0.00722
A22,A35,0.00724
A06,A21,0.00726
A41,A22,0.00728
A42,A38,0.0073
A31,A30,0.00732
A01,A03,0.00733
A22,A31,0.00737
A27,A16,0.00739
A40,A16,0.00744
A12,A23,0.00747
A29,A37,0.00747
A10,A15,0.00749
A49,A19,0.00751
A46,A31,0.00753
A36,A24,0.00762
A46,A15,0.00767
A25,A37,0.00779
A41,A32,0.00782
A40,A48,0.00783
A23,A25,0.00784
A13,A12,0.00793
A14,A02,0.00793
A38,A02,0.00797
A06,A41,0.00803
A23,A44,0.00807
A22,A10,0.00814
A32,A36,0.00814
A42,A46,0.00814
A47,A20,0.00814
A50,A10,0.00816
A46,A51,0.00828
A25,A30,0.0083
A42,A39,0.0083
A49,A43,0.00836
A49,A21,0.00841
A21,A20,0.00847
A20,A20,0.0085
A42,A44,0.00852
A32,A26,0.00858
A15,A40,0.00859
A29,A45,0.0086
A25,A33,0.00864
A08,A40,0.00867
A49,A02,0.00868
A42,A51,0.0088
A26,A21,0.00884
A41,A42,0.00884
A22,A19,0.00893
A46,A44,0.00894
A49,A49,0.00901
A10,A24,0.00904
A21,A23,0.00907
A19,A42,0.00909
A10,A43,0.00913
A31,A47,0.00913
A35,A08,0.00913
A32,A25,0.00916
A45,A24,0.00917
A27,A18,0.00918
A19,A32,0.00919
A27,A37,0.00921
A27,A43,0.00935
A12,A17,0.00937
A29,A50,0.00938
A10,A48,0.0094
A07,A42,0.00946
A41,A17,0.00946
A43,A26,0.0095
A22,A45,0.00953
A37,A37,0.00957
A14,A15,0.00969
A38,A39,0.00972
A52,A05,0.00978
A48,A04,0.00979
A48,A52,0.00979
A11,A21,0.00981
A32,A03,0.00987
A23,A43,0.00988
A21,A27,0.0099
A43,A51,0.00993
A27,A11,0.00998
A20,A42,0.01
A21,A40,0.0101
A26,A06,0.0101
A35,A26,0.0101
A45,A48,0.0101
A27,A02,0.0102
A47,A06,0.0102
A05,A12,0.0103
A10,A11,0.0103
A47,A18,0.0103
A24,A20,0.0104
A30,A46,0.0104
A23,A40,0.0105
A38,A47,0.0105
A14,A26,0.0106
A44,A01,0.0106
A46,A22,0.0106
A10,A13,0.0107
A17,A22,0.0107
A31,A11,0.0107
A47,A37,0.0107
A08,A49,0.0108
A34,A23,0.0109
A37,A18,0.0109
A34,A14,0.011
A30,A39,0.0111
A37,A16,0.0111
A34,A30,0.0112
A47,A31,0.0112
A22,A39,0.0114
A24,A28,0.0114
A48,A18,0.0114
A30,A42,0.0115
A41,A16,0.0115
A27,A45,0.0116
A40,A18,0.0117
A03,A43,0.0118
A45,A03,0.0118
A21,A11,0.0119
A26,A36,0.0121
A44,A22,0.0121
A31,A23,0.0122
A41,A35,0.0122
A20,A33,0.0123
A21,A25,0.0123
A25,A22,0.0123
A31,A16,0.0123
A19,A20,0.0124
A27,A20,0.0124
A32,A39,0.0125
A23,A33,0.0126
A13,A28,0.0127
A32,A47,0.0128
A34,A50,0.0128
A49,A33,0.0129
A25,A29,0.013
A39,A35,0.013
A05,A31,0.0131
A19,A43,0.0131
A22,A13,0.0131
A25,A25,0.0131
A11,A15,0.0132
A30,A22,0.0132
A34,A43,0.0133
A42,A17,0.0133
A09,A51,0.0134
A31,A46,0.0134
A30,A43,0.0135
A08,A51,0.0136
A11,A44,0.0136
A13,A21,0.0136
A40,A06,0.0136
A07,A20,0.0137
A42,A40,0.0137
A30,A25,0.0138
A27,A31,0.0139
A26,A03,0.014
A31,A27,0.014
A06,A08,0.0141
A33,A20,0.0141
A10,A32,0.0142
A17,A24,0.0142
A35,A45,0.0142
A49,A03,0.0142
A18,A46,0.0144
A23,A47,0.0144
A07,A33,0.0146
A38,A22,0.0146
A41,A48,0.0147
A18,A28,0.0148
A39,A06,0.0148
A49,A31,0.0148
A47,A16,0.0149
A11,A07,0.0152
A14,A24,0.0152
A15,A15,0.0154
A31,A43,0.0154
A18,A22,0.0155
A01,A34,0.0157
A07,A04,0.0157
A07,A52,0.0157
A11,A30,0.0157
A48,A05,0.0157
A10,A03,0.0158
A18,A29,0.0158
A08,A45,0.0159
A13,A04,0.0159
